col_oslnp,col_29p4d,col_4bzl7,col_g4elm,col_0l637,col_3zius,col_k7ayf,col_eph8l,col_9t29s,col_4gmox,col_l4kuj,col_lyhls,col_ky2iy,col_gkyng,col_q01lh,col_fe2jd,col_b0oll,col_dwe97,col_q9rrk,col_mkc8l,col_sxciu,col_ahvgp,col_2me64,col_eo0va,col_6v7c9,col_md150,col_grbeg,col_jleb4,col_hc7wj,col_eun3m,col_m74pu,col_ghi4z,col_y88mx,col_wv5nq,col_ur3w6,col_dyf88,col_i6wfm,col_riwps,col_rj5ld,col_be67j,col_0jjaa,target
26.0,112.0,24.0,38.6,27.1,606.0,2.65789473684211,0.39,0.900414937759336,0.3,3.0,2.0,27.0,877.0,217.0,0,0,1,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,1,0.0,0,0,1.0,0,1,0,0
54.0,45.0,7.0,2.36,2.36,230.0,0.912698412698413,0.5,0.702222222222222,0.3,1.0,2.0,0.74,160.0,158.0,0,0,0,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0.0,0,0,0,0
33.0,144.0,28.0,27.6,38.5,591.0,1.65083798882682,3.69,1.00510204081633,0.3,3.2,1.5,1.61,330.4,197.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0.0,0,0,0.0,1,1,0,0
36.0,43.0,25.0,5.8,104.0,1274.0,3.55,12.41,1.20391061452514,0.3,5.0,1.0,3.66,495.0,197.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,1,0.0,0,0,1.0,1,1,0,0
53.0,72.0,10.0,8.3,6.7,444.0,1.76190476190476,1.9,0.57142857142857,0.3,5.0,1.0,1.89,317.0,144.0,0,0,1,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0,1,1,0,0.0,1,0.125,1,0,0.0,0,0,0,0
49.0,91.0,15.0,5.8,25.7,954.0,3.78571428571429,1.22,0.735,0.3,3.5,1.0,17.0,491.0,147.0,0,0,1,1,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,1.0,1,0.0,0,0,1.0,1,0,0,0
38.0,138.0,22.0,5.8,18.5,1296.0,4.563380281690141,0.34,0.74330985915493,0.3,2.0,1.0,2.8,833.0,211.1,0,0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,1,1.0,0,0,1.0,0,1,0,0
35.0,135.0,30.0,80.0,73.7,1089.0,3.04189944134078,0.55,0.545918367346939,0.3,1.0,0.0,1.89,317.0,107.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,1,0,1.0,0,0,0,0
46.0,96.0,24.0,5.8,9.8,664.0,2.32262569832402,0.56,0.902222222222222,0.3,1.0,1.0,4.67,536.0,203.0,0,0,0,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1.0,1,0.0,0,0,1.0,1,0,0,1
32.0,167.0,13.0,7.42,9.93,830.0,2.31843575418994,0.179,0.937799043062201,0.25,0.5,1.5,1.89,317.0,196.0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1,0.125,1,0,1.0,1,1,0,0
